timestamp;acidez_day_tank;clorofila;degomagem_enzimatica_sabao_ika;degomagem_enzimatica_spin_test;clarificacao_cor_vermelha;clarificacao_clorofila;desodorizacao_acidez;desodorizacao_sabao;desodorizacao_clorofila;desodorizacao_cor_amarela;desodorizacao_cor_vermelha
11/19/2019 10:00;0;0;0;0;7,7;105;0,05;2;48;9,5;0,9
11/19/2019 12:00;0;0;0;0;8;110;0,05;1,8;36;9,9;0,9
11/19/2019 14:00;0;0;0;0;7,4;128;0,51;1,7;33;9,9;0,9
11/19/2019 16:00;1,53;815;749;0,1;8;108;0,05;1,2;55;9,9;0,9
11/19/2019 18:00;0;0;0;0;7,3;114;0,05;1,5;35;11;1
11/19/2019 20:00;0;0;0;0;7,6;98;0,04;1,2;71;9,9;0,9
11/19/2019 22:00;0;0;0;0;7,6;96;0,04;0,9;43;9,9;0,9
11/20/2019 0:00;1,5;838;783;0,1;7,5;118;0,05;1,5;41;9,9;1
11/20/2019 2:00;0;0;0;0;8;104;0,04;0,8;66;12;1,1
11/20/2019 4:00;0;0;0;0;7,6;110;0,04;0,9;44;9,9;0,9
11/20/2019 6:00;0;No events found,;0;0;7,6;124;0,04;1,1;46;9,9;1
11/20/2019 8:00;1,55;843;788;0,1;7,7;128;0,05;1,2;42;9,9;1
11/20/2019 10:00;0;0;0;0;7,6;100;0,05;0,9;42;9,9;0,9
11/20/2019 12:00;0;0;0;0;7,6;105;0,04;0,9;36;11;1,1
11/20/2019 14:00;0;0;0;0;7,6;96;0,04;0,9;89;12;1,2
11/20/2019 16:00;1,43;821;796;0,1;7,4;102;0,04;0,9;41;11;1,1
11/20/2019 18:00;0;0;0;0;7,6;98;0,04;0,9;39;11;1
11/20/2019 20:00;0;0;0;0;8,1;107;0,04;0,9;55;11;1
11/20/2019 22:00;0;0;0;0;8;102;0,04;0,9;38;12;1,2
11/21/2019 0:00;1,49;818;721;0,1;7,8;106;0,05;1;38;11;1,1
11/21/2019 2:00;0;0;0;0;8;107;0,05;1,2;61;11;1
11/21/2019 4:00;0;0;0;0;8,1;104;0,05;1;38;11;0,9
11/21/2019 6:00;0;No events found,;0;0;7,5;108;0,05;0,9;31;11;1,1
11/21/2019 8:00;1,5;789;785;0,1;7,8;88;0,05;0,9;32;12;1,4
11/21/2019 10:00;0;0;0;0;7,8;100;0,05;1,2;4;12;1,3
11/21/2019 12:00;0;0;0;0;8,1;93;0,05;0,9;24;11;1,1
11/21/2019 14:00;0;0;0;0;7,6;104;0,05;0,9;33;11;1,1
11/21/2019 16:00;1,53;782;756;0,2;7,3;125;0,05;1,2;27;9,9;0,9
11/21/2019 18:00;0;0;0;0;7,1;112;0,05;1,4;55;11;1,1
11/21/2019 20:00;0;0;0;0;7;114;0,05;1,2;41;11;1,1
11/21/2019 22:00;0;0;0;0;7,3;106;0,05;1,2;34;11;1,1
11/22/2019 0:00;1,5;783;787;0,2;7,1;100;0,04;1,5;32;11;1,2
11/22/2019 2:00;0;0;0;0;7,3;103;0,04;1,2;36;11;1,1
11/22/2019 4:00;0;0;0;0;7,5;96;0,05;1,5;43;11;1,1
11/22/2019 6:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/22/2019 8:00;1,56;869;780;0,2;7,3;104;0,05;1,14;42;12;1,3
11/22/2019 10:00;0;0;0;0;6,6;104;0,05;1,2;39;11;1,1
11/22/2019 12:00;0;0;0;0;6,8;92;0,05;0,9;74;12;1,1
11/22/2019 14:00;0;0;0;0;7,2;81;0,05;0,9;36;13;1,2
11/22/2019 16:00;1,57;750;779;0,2;6,6;107;0,05;0,9;36;11;1,1
11/22/2019 18:00;0;0;0;0;6,7;105;0,05;0,09;38;11;1,1
11/22/2019 20:00;0;0;0;0;7,7;110;0,05;1,2;56;11;1,1
11/22/2019 22:00;0;0;0;0;8,3;84;0,05;0,9;43;11;1,1
11/23/2019 0:00;1,48;744;792;0,2;8,3;91;0,05;0,9;95;11;1,1
11/23/2019 2:00;0;0;0;0;8,1;98;0,05;0,9;38;11;1
11/23/2019 4:00;0;0;0;0;6,7;140;0,05;1,2;38;11;1,1
11/23/2019 6:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/23/2019 8:00;1,6;761;928;0,1;8;106;0,05;0,8;48;11;1
11/23/2019 10:00;0;0;0;0;7,7;103;0,05;1,2;35;9,9;0,9
11/23/2019 12:00;0;0;0;0;8,1;118;0,05;0,9;82;9,9;0,9
11/23/2019 14:00;0;0;0;0;8,1;100;0,05;0,9;35;1,1;0,9
11/23/2019 16:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/23/2019 18:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/23/2019 20:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/23/2019 22:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/24/2019 0:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/24/2019 2:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/24/2019 4:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/24/2019 6:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/24/2019 8:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/24/2019 10:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/24/2019 12:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/24/2019 14:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/24/2019 16:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/24/2019 18:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/24/2019 20:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/24/2019 22:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/25/2019 0:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/25/2019 2:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/25/2019 4:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/25/2019 6:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/25/2019 8:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/25/2019 10:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/25/2019 12:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/25/2019 14:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/25/2019 16:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/25/2019 18:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/25/2019 20:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/25/2019 22:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
11/26/2019 0:00;0;No events found,;0;0;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,;No events found,
